Name,Sub Category,Plan,AUM,Expense Ratio,Absolute Returns - 3M,Absolute Returns - 6M,Absolute Returns - 1Y,CAGR 3Y,CAGR 5Y,CAGR 10Y,Alpha,Volatility,Category St Dev,SEBI Risk Category
Axis All Seasons Debt FOFs,FoFs (Domestic) - Debt Oriented,Growth,136.31,0.23,3.12,4.85,9.31,6.34,0.00,0.00,0.00,1.95,2.02,Moderately High
Axis Children's Gift Fund-Compulsory Lock in,Solution Oriented - Children's Fund,Growth,904.39,1.23,13.28,17.85,24.64,10.13,15.99,0.00,0.00,9.82,11.70,High
Axis Children's Gift Fund-No Lock in,Solution Oriented - Children's Fund,Growth,904.39,1.23,13.34,17.97,24.90,10.37,16.20,0.00,0.00,9.82,11.70,High
Axis Equity ETFs FoF,FoFs (Domestic) - Equity Oriented,Growth,22.54,0.12,11.76,17.65,38.78,0.00,0.00,0.00,4.38,11.05,12.86,Very High
Axis Global Equity Alpha FoF,FoFs (Overseas),Growth,856.60,0.84,2.30,6.49,20.08,9.33,0.00,0.00,0.00,13.75,14.84,Very High
Axis Global Innovation FoF,FoFs (Overseas),Growth,534.13,0.76,1.42,5.51,23.34,5.71,0.00,0.00,0.00,16.45,14.84,Very High
Axis Gold Fund,FoFs - Gold,Growth,500.49,0.17,-0.56,10.73,19.80,14.07,12.14,8.90,0.00,12.16,14.28,High
Axis Greater China Equity FoF,FoFs (Overseas),Growth,206.27,0.54,-5.66,3.17,-4.34,-8.47,0.00,0.00,0.00,18.62,14.84,Very High
Axis NASDAQ 100 FoF,FoFs (Overseas),Growth,171.86,0.22,0.39,6.64,23.06,0.00,0.00,0.00,0.00,16.58,14.84,Very High
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF,FoFs (Domestic) - Debt Oriented,Growth,291.42,0.08,2.79,3.83,7.71,0.00,0.00,0.00,0.00,2.14,2.02,Moderately Low
Axis US Treasury Dynamic Bond ETF FoF,FoFs (Overseas),Growth,94.71,0.10,6.42,7.08,0.00,0.00,0.00,0.00,0.00,6.89,14.84,Very High
Bandhan All Seasons Bond Fund,FoFs (Domestic) - Debt Oriented,Growth,121.68,0.07,2.39,4.23,8.07,5.69,6.66,7.67,0.00,0.78,2.02,Moderate
Bandhan Asset Alloc FoF-Aggr,FoFs (Domestic) - Equity Oriented,Growth,18.63,0.49,10.17,13.99,30.10,13.96,16.65,11.51,2.06,8.52,12.86,High
Bandhan US Equity FoF,FoFs (Overseas),Growth,304.51,0.48,2.74,6.66,29.23,11.77,0.00,0.00,0.00,18.92,14.84,Very High
Bandhan US Treasury Bond 0-1 year FoF,FoFs (Overseas),Growth,151.24,0.14,2.13,4.01,6.65,0.00,0.00,0.00,0.00,1.56,14.84,Very High
Baroda BNP Paribas Aqua FoF,FoFs (Overseas),Growth,53.32,0.54,2.49,5.38,17.95,5.27,0.00,0.00,0.00,14.68,14.84,Very High
BHARAT Bond ETF FOF - April 2032,FoFs (Domestic) - Debt Oriented,Growth,4435.25,0.06,2.82,4.07,8.54,0.00,0.00,0.00,0.00,2.81,2.02,Moderate
BHARAT Bond ETF FOF - April 2033,FoFs (Domestic) - Debt Oriented,Growth,2209.06,0.06,3.14,4.32,8.95,0.00,0.00,0.00,0.00,6.40,2.02,Moderate
BHARAT Bond FOF - April 2025,FoFs (Domestic) - Debt Oriented,Growth,4694.35,0.06,1.93,3.75,7.22,4.98,0.00,0.00,0.00,1.78,2.02,Moderately Low
BHARAT Bond FOF - April 2030,FoFs (Domestic) - Debt Oriented,Growth,6847.41,0.06,2.55,3.99,8.24,6.13,0.00,0.00,0.00,3.50,2.02,Moderate
BHARAT Bond FOF - April 2031,FoFs (Domestic) - Debt Oriented,Growth,4566.48,0.06,2.58,4.33,8.39,6.05,0.00,0.00,0.00,2.87,2.02,Moderate
DSP Global Allocation FoF,FoFs (Overseas),Growth,64.79,1.45,3.04,5.70,16.04,5.39,9.89,7.60,0.00,9.00,14.84,Very High
DSP Global Innovation FoF,FoFs (Overseas),Growth,830.62,1.20,-0.80,0.32,21.25,0.00,0.00,0.00,0.00,18.29,14.84,Very High
DSP Gold ETF FoF,FoFs - Gold,Growth,31.69,0.61,-0.25,10.38,0.00,0.00,0.00,0.00,1.52,12.81,14.28,High
DSP US Flexible Equity Fund,FoFs (Overseas),Growth,903.74,1.50,1.06,4.67,18.12,11.07,16.92,14.03,0.00,13.28,14.84,Very High
DSP US Treasury FoF,FoFs (Overseas),Growth,68.17,0.22,5.67,0.00,0.00,0.00,0.00,0.00,0.00,6.04,14.84,Very High
DSP World Agriculture Fund,FoFs (Overseas),Growth,14.14,1.49,4.54,5.69,0.15,-6.92,2.49,2.66,0.00,12.16,14.84,Very High
DSP World Energy Fund,FoFs (Overseas),Growth,138.31,1.54,-2.53,2.88,4.37,3.81,7.83,2.18,0.00,18.65,14.84,Very High
DSP World Gold FoF,FoFs - Gold,Growth,954.58,1.65,10.84,32.00,31.05,7.23,7.33,6.47,0.00,27.88,14.28,Very High
DSP World Mining Fund,FoFs (Overseas),Growth,136.29,1.51,-4.65,8.37,0.22,3.92,13.86,6.39,0.00,22.90,14.84,Very High
Edelweiss ASEAN Equity Off-Shore Fund,FoFs (Overseas),Growth,60.43,1.59,13.15,14.55,14.07,6.53,6.12,5.92,0.00,11.50,14.84,Very High
Edelweiss Emerging Markets Opp Eq. Offshore Fund,FoFs (Overseas),Growth,108.93,1.42,0.97,4.96,9.69,-3.50,4.31,4.47,0.00,14.76,14.84,Very High
Edelweiss Europe Dynamic Equity Off-shore Fund,FoFs (Overseas),Growth,78.26,1.47,0.79,9.42,22.10,8.66,13.34,8.05,0.00,14.06,14.84,Very High
Edelweiss Gold and Silver ETF FoF,FoFs - Gold,Growth,100.32,0.25,-3.55,13.00,16.50,0.00,0.00,0.00,0.00,18.27,14.28,Very High
Edelweiss Gr China Equity Off-Shore Fund,FoFs (Overseas),Growth,1225.32,1.40,-6.57,2.06,-5.77,-12.22,3.55,6.72,0.00,18.75,14.84,Very High
Edelweiss US Technology Equity FOF,FoFs (Overseas),Growth,2162.45,1.41,-0.61,-2.05,20.62,4.60,0.00,0.00,0.00,25.81,14.84,Very High
Edelweiss US Value Equity Offshore Fund,FoFs (Overseas),Growth,108.69,1.42,5.36,8.21,18.38,11.17,14.22,11.35,0.00,11.30,14.84,Very High
Franklin India Feeder - Franklin U.S. Opportunities Fund,FoFs (Overseas),Growth,3433.00,0.58,1.44,5.97,26.86,4.26,15.73,14.98,0.00,17.61,14.84,Very High
Franklin India Feeder - Templeton European Opportunities Fund,FoFs (Overseas),Growth,16.18,0.53,2.04,13.76,9.64,2.93,4.59,2.38,0.00,16.40,14.84,Very High
Groww Nifty EV & New Age Automotive ETF FOF,FoFs (Domestic) - Equity Oriented,Growth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.51,10.65,12.86,Very High
HDFC Developed World Indexes FoF,FoFs (Overseas),Growth,1245.63,0.23,4.15,8.98,23.06,0.00,0.00,0.00,0.00,11.41,14.84,Very High
HDFC Gold Fund,FoFs - Gold,Growth,2067.99,0.18,-0.47,11.15,19.93,14.00,12.02,8.96,0.00,11.71,14.28,Very High
HSBC Asia Pacific (Ex Japan) DYF,FoFs (Overseas),Growth,6.43,1.65,2.25,10.72,16.12,4.33,8.43,7.30,0.00,14.82,14.84,Very High
HSBC Brazil Fund,FoFs (Overseas),Growth,36.37,1.85,7.27,-4.35,1.71,0.51,-3.27,-2.69,0.00,22.78,14.84,Very High
HSBC Global Emerging Markets Fund,FoFs (Overseas),Growth,34.13,1.65,1.23,9.68,10.70,-2.43,6.73,4.84,0.00,15.10,14.84,Very High
HSBC Global Equity Climate Change FoF,FoFs (Overseas),Growth,110.41,1.45,0.46,5.25,13.20,-1.82,0.00,0.00,0.00,15.44,14.84,Very High
HSBC Managed Solutions India-Growth,FoFs (Domestic) - Equity Oriented,Growth,44.90,0.98,12.48,14.86,32.02,15.83,19.60,13.46,0.90,11.53,12.86,Very High
HSBC Managed Solutions India-Moderate,FoFs (Domestic) - Equity Oriented,Growth,59.90,0.88,10.63,12.88,27.27,13.91,17.22,12.42,0.25,9.47,12.86,High
ICICI Pru Bharat 22 FOF,FoFs (Domestic) - Equity Oriented,Growth,1896.50,0.12,12.16,11.94,61.24,40.48,28.52,0.00,3.43,21.24,12.86,Very High
ICICI Pru BSE 500 ETF FOF,FoFs (Domestic) - Equity Oriented,Growth,123.04,0.13,14.12,16.97,37.76,0.00,0.00,0.00,2.52,12.39,12.86,Very High
ICICI Pru Child Care Fund-Gift Plan,Solution Oriented - Children's Fund,Growth,1364.24,1.45,9.75,15.22,38.51,19.62,19.69,13.44,0.00,13.93,11.70,Very High
ICICI Pru Debt Mgmt Fund,FoFs (Domestic) - Debt Oriented,Growth,127.28,0.41,2.31,4.26,8.19,6.21,6.99,8.36,0.51,1.00,2.02,Moderately High
ICICI Pru Global Advantage Fund,FoFs (Overseas),Growth,309.82,0.50,3.12,11.69,13.64,2.98,0.00,0.00,1.53,12.92,14.84,Very High
ICICI Pru Global Stable Equity Fund,FoFs (Overseas),Growth,119.89,1.02,7.73,8.77,14.38,8.61,11.10,9.87,0.00,10.17,14.84,Very High
ICICI Pru India Equity,FoFs (Domestic) - Equity Oriented,Growth,131.00,0.68,14.66,18.23,48.33,25.27,0.00,0.00,5.30,12.18,12.86,Very High
ICICI Pru Nifty 100 Low Volatility 30 ETF FOF,FoFs (Domestic) - Equity Oriented,Growth,1221.65,0.10,12.89,15.19,39.10,16.75,0.00,0.00,2.31,10.15,12.86,Very High
ICICI Pru Nifty Alpha Low - Volatility 30 ETF FOF,FoFs (Domestic) - Equity Oriented,Growth,626.12,0.14,13.11,16.25,56.00,0.00,0.00,0.00,3.21,11.75,12.86,Very High
ICICI Pru Passive Strategy Fund,FoFs (Domestic) - Equity Oriented,Growth,184.85,0.21,13.19,15.67,36.97,18.49,21.40,14.40,3.36,10.63,12.86,Very High
ICICI Pru Regular Gold Savings Fund,FoFs - Gold,Growth,999.15,0.09,-0.09,11.38,20.34,14.01,11.93,9.06,0.00,12.52,14.28,High
ICICI Pru Strategic Metal and Energy Equity FoF,FoFs (Overseas),Growth,99.25,0.63,1.09,10.50,9.27,0.00,0.00,0.00,0.00,21.20,14.84,Very High
ICICI Pru Thematic Advantage Fund,FoFs (Domestic) - Equity Oriented,Growth,1746.93,0.44,16.55,20.31,39.52,21.33,27.66,19.86,4.92,9.60,12.86,Very High
Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF,FoFs (Overseas),Growth,404.15,0.16,0.30,6.83,22.92,0.00,0.00,0.00,0.00,17.50,14.84,Very High
Invesco India - Invesco Global Consumer Trends FoF,FoFs (Overseas),Growth,288.44,0.60,1.36,0.33,7.14,-9.47,0.00,0.00,0.00,21.19,14.84,Very High
Invesco India - Invesco Global Equity Income FoF,FoFs (Overseas),Growth,21.99,0.86,6.07,10.76,23.17,14.19,15.95,10.76,0.00,13.05,14.84,Very High
Invesco India - Invesco Pan European Equity FoF,FoFs (Overseas),Growth,37.00,0.58,-1.28,5.63,11.70,8.46,11.41,6.29,0.00,14.76,14.84,Very High
Invesco India Gold ETF FoF,FoFs - Gold,Growth,74.39,0.20,0.05,11.29,20.44,14.25,11.95,9.02,0.00,13.15,14.28,High
Kotak All Weather Debt FoF,FoFs (Domestic) - Debt Oriented,Growth,54.95,0.08,3.44,5.25,9.15,0.00,0.00,0.00,0.00,1.89,2.02,Moderately High
Kotak Global Emerging Mkt Fund,FoFs (Overseas),Growth,90.56,1.27,0.88,4.76,10.23,-0.61,7.64,4.73,0.00,12.10,14.84,Very High
Kotak Global Innovation FoF,FoFs (Overseas),Growth,770.33,0.45,2.07,6.02,20.04,0.14,0.00,0.00,0.00,16.52,14.84,Very High
Kotak Gold Fund,FoFs - Gold,Growth,1846.08,0.16,-0.31,11.26,20.13,13.82,11.58,9.18,0.00,12.02,14.28,High
Kotak International REIT FOF,FoFs (Overseas),Growth,59.85,0.51,10.86,12.01,13.60,0.67,0.00,0.00,0.00,20.18,14.84,Very High
Kotak NASDAQ 100 FoF,FoFs (Overseas),Growth,3138.32,0.30,0.27,6.58,23.19,11.65,0.00,0.00,0.00,18.28,14.84,Very High
LIC MF Children’s Fund,Solution Oriented - Children's Fund,Growth,17.27,1.70,14.30,17.29,29.74,13.92,16.45,10.92,-0.85,11.92,11.70,Very High
LIC MF Gold ETF FoF,FoFs - Gold,Growth,57.46,0.26,-0.08,11.62,20.65,14.57,11.57,8.72,0.00,13.16,14.28,High
Mahindra Manulife Asia Pacific REITs FOF,FoFs (Overseas),Growth,18.97,0.45,11.85,11.62,8.68,0.00,0.00,0.00,0.00,16.84,14.84,Very High
Mirae Asset Equity Allocator FoF,FoFs (Domestic) - Equity Oriented,Growth,855.21,0.04,12.41,16.41,37.29,17.39,0.00,0.00,0.60,13.87,12.86,Very High
Mirae Asset Global Electric & Autonomous Vehicles ETFs FoF,FoFs (Overseas),Growth,67.09,0.25,-11.28,-8.43,-15.55,0.00,0.00,0.00,0.00,21.94,14.84,Very High
Mirae Asset Global X Artificial Intelligence & Technology ETF FoF,FoFs (Overseas),Growth,317.83,0.26,0.31,4.63,20.53,0.00,0.00,0.00,0.00,19.56,14.84,Very High
Mirae Asset Hang Seng TECH ETF FoF,FoFs (Overseas),Growth,67.97,0.10,-4.13,5.57,-10.21,0.00,0.00,0.00,0.00,19.57,14.84,Very High
Mirae Asset Nifty 100 ESG Sector Leaders FoF,FoFs (Domestic) - Equity Oriented,Growth,113.40,0.08,12.15,14.47,32.95,12.67,0.00,0.00,0.38,12.92,12.86,Very High
Mirae Asset Nifty India Manufacturing ETF FoF,FoFs (Domestic) - Equity Oriented,Growth,113.99,0.07,9.97,24.87,51.98,0.00,0.00,0.00,0.33,15.38,12.86,Very High
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF FoF,FoFs (Domestic) - Equity Oriented,Growth,170.23,0.10,17.81,19.87,0.00,0.00,0.00,0.00,-3.29,21.57,12.86,Very High
Mirae Asset Nifty200 Alpha 30 ETF FoF,FoFs (Domestic) - Equity Oriented,Growth,132.59,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.66,20.00,12.86,Very High
Mirae Asset NYSE FANG+ETF FoF,FoFs (Overseas),Growth,1555.63,0.05,-0.20,10.58,44.44,19.95,0.00,0.00,0.00,18.85,14.84,Very High
Mirae Asset S&P 500 Top 50 ETF FoF,FoFs (Overseas),Growth,545.57,0.09,-1.21,12.81,28.08,0.00,0.00,0.00,0.00,18.38,14.84,Very High
Motilal Oswal 5 Year G-Sec FoF,FoFs (Domestic) - Debt Oriented,Growth,20.61,0.13,2.92,4.13,8.00,0.00,0.00,0.00,0.00,5.12,2.02,Moderate
Motilal Oswal Asset Allocation Passive FoF-Aggressive,FoFs (Domestic) - Equity Oriented,Growth,67.92,0.09,7.69,12.32,27.62,14.16,0.00,0.00,0.00,8.57,12.86,Very High
Motilal Oswal Developed Market Ex US ETFs FoF,FoFs (Overseas),Growth,33.44,0.17,1.34,7.28,0.00,0.00,0.00,0.00,0.00,12.93,14.84,Very High
Motilal Oswal Gold and Silver ETFs FoF,FoFs - Gold,Growth,85.50,0.16,-2.25,11.88,17.98,0.00,0.00,0.00,0.00,13.84,14.28,Very High
Motilal Oswal Nasdaq 100 FOF,FoFs (Overseas),Growth,4844.82,0.24,3.90,6.55,25.21,11.29,22.79,0.00,5.05,16.26,14.84,Very High
Navi NASDAQ 100 FoF,FoFs (Overseas),Growth,957.78,0.12,0.32,7.30,23.86,0.00,0.00,0.00,0.78,17.77,14.84,Very High
Navi US Total Stock Market FoF,FoFs (Overseas),Growth,931.81,0.06,3.74,9.45,23.91,0.00,0.00,0.00,0.00,13.37,14.84,Very High
Nippon India Gold Savings Fund,FoFs - Gold,Growth,1795.83,0.14,-0.25,10.77,20.10,13.80,11.81,8.96,0.00,12.62,14.28,High
Nippon India Nifty Next 50 Junior BeES FoF,FoFs (Domestic) - Equity Oriented,Growth,481.84,0.11,12.71,25.73,66.75,21.59,24.18,0.00,7.59,15.65,12.86,Very High
Nippon India Passive Flexicap FoF,FoFs (Domestic) - Equity Oriented,Growth,252.11,0.20,13.23,16.94,38.26,18.01,0.00,0.00,4.64,11.48,12.86,Very High
PGIM India Emerging Markets Equity Fund,FoFs (Overseas),Growth,96.56,1.36,1.01,8.21,20.72,-9.42,2.23,2.61,0.00,14.89,14.84,Very High
PGIM India Global Equity Opp Fund,FoFs (Overseas),Growth,1344.59,1.44,-0.07,4.27,26.48,2.82,17.60,10.74,0.00,17.45,14.84,Very High
PGIM India Global Select Real Estate Securities FoF,FoFs (Overseas),Growth,56.91,1.27,11.36,13.90,22.54,0.00,0.00,0.00,0.00,15.64,14.84,Very High
Quantum Equity FoF,FoFs (Domestic) - Equity Oriented,Growth,132.64,0.51,13.59,20.05,37.61,16.64,20.78,14.25,1.05,13.19,12.86,Very High
Quantum Gold Saving Fund,FoFs - Gold,Growth,114.88,0.06,-0.39,11.11,20.28,13.88,11.75,8.78,0.00,11.73,14.28,High
Quantum Nifty 50 ETF FoF,FoFs (Domestic) - Equity Oriented,Growth,21.33,0.06,10.82,13.08,29.49,0.00,0.00,0.00,3.42,11.22,12.86,Very High
SBI Gold,FoFs - Gold,Growth,1878.67,0.10,-0.37,11.14,20.21,14.15,12.14,9.14,0.00,11.90,14.28,High
SBI International Access-US Equity FoF,FoFs (Overseas),Growth,934.61,0.90,1.50,9.29,27.16,12.39,0.00,0.00,-0.47,15.39,14.84,Very High
SBI Magnum Children's Benefit Fund-Investment Plan,Solution Oriented - Children's Fund,Growth,2571.71,0.83,19.62,30.18,44.01,28.71,0.00,0.00,6.33,11.09,11.70,Very High
SBI Magnum Children's Benefit Fund-Savings Plan,Solution Oriented - Children's Fund,Growth,116.81,0.85,9.55,12.27,21.67,13.40,14.48,12.82,0.00,3.97,11.70,High
Sundaram Global Brand Fund,FoFs (Overseas),Growth,113.43,1.36,1.96,1.06,14.33,7.61,13.75,7.49,0.00,11.57,14.84,Very High
Tata Gold ETF FoF,FoFs - Gold,Growth,77.08,0.07,-0.42,10.10,0.00,0.00,0.00,0.00,0.00,13.66,14.28,High
Tata Nifty India Digital ETF FoF,FoFs (Domestic) - Equity Oriented,Growth,65.19,0.07,25.05,23.05,46.44,0.00,0.00,0.00,3.28,13.83,12.86,Very High
Tata Young Citizen Fund,Solution Oriented - Children's Fund,Growth,382.81,2.18,15.04,18.44,32.74,16.95,23.22,14.38,1.17,11.59,11.70,Very High
Union Children's Fund,Solution Oriented - Children's Fund,Growth,54.56,0.80,15.59,17.98,0.00,0.00,0.00,0.00,1.32,15.06,11.70,Very High
UTI Gold ETF FoF,FoFs - Gold,Growth,104.15,0.22,-0.29,11.19,20.07,0.00,0.00,0.00,0.00,11.99,14.28,High
